"Year","CPIYearMean"
"1960",29.575
"1961",29.8916666666667
"1962",30.25
"1963",30.625
"1964",31.0166666666667
"1965",31.5083333333333
"1966",32.4583333333333
"1967",33.3583333333333
"1968",34.7833333333333
"1969",36.6833333333333
"1970",38.825
"1971",40.4916666666667
"1972",41.8166666666667
"1973",44.4
"1974",49.3083333333333
"1975",53.8166666666667
"1976",56.9083333333333
"1977",60.6083333333333
"1978",65.2333333333333
"1979",72.575
"1980",82.4083333333333
"1981",90.925
"1982",96.5
"1983",99.6
"1984",103.883333333333
"1985",107.566666666667
"1986",109.608333333333
"1987",113.625
"1988",118.258333333333
"1989",123.966666666667
"1990",130.658333333333
"1991",136.191666666667
"1992",140.316666666667
"1993",144.458333333333
"1994",148.225
"1995",152.383333333333
"1996",156.85
"1997",160.516666666667
"1998",163.008333333333
"1999",166.575
"2000",172.2
"2001",177.066666666667
"2002",179.875
"2003",183.958333333333
"2004",188.883333333333
"2005",195.291666666667
"2006",201.591666666667
"2007",207.342416666667
"2008",215.3025
"2009",214.537
"2010",218.0555
"2011",224.939166666667
"2012",229.593916666667
"2013",232.957083333333
"2014",236.736166666667
"2015",237.017
